o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:type,dcterms:identifier,dcterms:alternative,dcterms:references,ric:hasOrHadCategory,ric:latitude,ric:longitude,gn:parentADM1,gn:population
1314,https://undusting.org/edut710/admin/item/1314,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"כביש 232: רעים - בארי","road | כביש",710.Loc.0089,"Re'im-Be'eri road",,,31.4050740370778,34.4792224231953,,
1313,https://undusting.org/edut710/admin/item/1313,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"דיר אל בלח",,710.Loc.03344,"Deir al Balah",,"710_Locations | Gaza Locations",31.4204757055826,34.3597029755557,,
1312,https://undusting.org/edut710/admin/item/1312,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מחנה עופר","military camp | מחנה צבאי",710.Loc.03343,"Ofer Camp",,"710_Locations | Israel Location",31.8661249181297,35.191302850631,,
1311,https://undusting.org/edut710/admin/item/1311,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"כביש 34: יכיני - יושיביה","road | כביש",710.Loc.0088,"Yahini Yoshivya road",,,31.465305,34.593532,,
1310,https://undusting.org/edut710/admin/item/1310,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"כביש 232:  רעים - צומת מעון","road | כביש",710.Loc.0087,"Re'im-Maon jct road",,,31.3452361354348,34.4465779612038,,
1309,https://undusting.org/edut710/admin/item/1309,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"כביש 234: רעים - אורים","road | כביש",710.Loc.0085,"Re'im-Urim road",,,31.3672704496549,34.4745700721113,,
1308,https://undusting.org/edut710/admin/item/1308,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מוצב הבית הלבן","military post | מוצב צבאי",710.Loc.03313,"White House post",,"710_Locations | Israel Location",31.3247965298534,34.401820034021,,
1307,https://undusting.org/edut710/admin/item/1307,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,שג'אעיה,,710.Loc.03312,"Friendly fire in Shejaiya",,"710_Locations | Gaza Locations",31.48884,34.463335,,
1306,https://undusting.org/edut710/admin/item/1306,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"צומת גמה","junction | צומת",710.Loc.03311,"Gamma Junction",,"710_Locations | Israel Location",31.37176,34.448987,,
1305,https://undusting.org/edut710/admin/item/1305,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"צומת מעון","junction | צומת",710.Loc.03310,"Maon jct",,"710_Locations | Israel Location",31.3135022215298,34.4391187940375,,
1304,https://undusting.org/edut710/admin/item/1304,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"ביה""ח שיפא","hospital | בית חולים",710.Loc.03309,"Shifa Hospital",,"710_Locations | Gaza Locations",31.5325563751117,34.4437725529408,,
1303,https://undusting.org/edut710/admin/item/1303,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"צומת מגן","junction | צומת",710.Loc.03306,"Magen jct",,"710_Locations | Israel Location",31.2972793626219,34.4329166789322,,
1302,https://undusting.org/edut710/admin/item/1302,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,ג'באליה,,710.Loc.03305,Jabalya,,"710_Locations | Gaza Locations",31.5300722770168,34.4797195421764,,
1301,https://undusting.org/edut710/admin/item/1301,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"כביש 4: יד מרדכי - נתיב העשרה","road | כביש",710.Loc.03302,"Road 4: Yad Mordekhai-Netiv HaAsara",,"710_Locations | Israel Location",31.5770551315379,34.5528746410571,,
1300,https://undusting.org/edut710/admin/item/1300,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מש""א ארז",,710.Loc.03301,"MASA Erez",,"710_Locations | Israel Location",31.6054753165714,34.5024353281107,,
1299,https://undusting.org/edut710/admin/item/1299,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מו""פ דרום",,710.Loc.03300,"MOP Darom",,"710_Locations | Israel Location",31.2742733480027,34.3867808772305,,
1298,https://undusting.org/edut710/admin/item/1298,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מחנה רעים","military camp | מחנה צבאי",710.Loc.03299,"Re'im Base",,"710_Locations | Israel Location",31.3631573328565,34.4452834913286,,
1297,https://undusting.org/edut710/admin/item/1297,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"שער ניר עוז",,710.Loc.03298,"Nir Oz gate",,"710_Locations | Israel Location",31.313068873547,34.4032941896611,,
1296,https://undusting.org/edut710/admin/item/1296,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"חאן יונס",,710.Loc.03297,"Khan Yunis",,"710_Locations | Israel Location",31.3502525071482,34.3042056479206,,
1295,https://undusting.org/edut710/admin/item/1295,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מחנה זיקים","military camp | מחנה צבאי",710.Loc.03296,"Zikim Base",,"710_Locations | Israel Location",31.604753586258,34.5073326774338,,
1294,https://undusting.org/edut710/admin/item/1294,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מוצב יפתח","military post | מוצב צבאי",710.Loc.03295,"Yiftah Base",,"710_Locations | Israel Location",31.596972587333,34.5117547187511,,
1293,https://undusting.org/edut710/admin/item/1293,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"כביש 232: שער הנגב - מפלסים","road | כביש",710.Loc.0082,"Sha’ar Hanegev Mefalsim road",,,31.5039803105381,34.5777168985604,,
1292,https://undusting.org/edut710/admin/item/1292,Location,dcterms:Location,yael.netzer@gmail.com,true,1271,,,,"מעבר ארז",,710.Loc.03291,"Erez Checkpoint",,"710_Locations | Israel Location",31.5605566379382,34.5441659545204,,
