File,dcterms:identifier,status,omeka.walls,Location,OmekaIDLocation,LocationsHarpz,harpaz.location,harpas.death.location,note,name yael,harpaz id_,harpaz first and last name,id from btl,Name btl,facet
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00939,,2717,אבו גוש,1261,אבו גוש,אבו גוש,אבו גוש,,מאג'ד אבראהים,hrpz:2013,מאג׳ד אברהים,btl:44011,מאג'ד אברהים,יש התאמה להכל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00925,,2703,אשקלון,1183,אשקלון,אשקלון,אשקלון,,ג'אנה רודרמן,hrpz:1613,ז׳אנה רודרמן,btl:44012,ז'אנה רודרמן,יש התאמה להכל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.001205,,2983,"אלכסנדריה, מצרים",,"אלכסנדריה, מצרים","אלכסנדריה, מצרים","אלכסנדריה, מצרים",,חגי אפרת,hrpz:2041,חגי אפרת,btl:44013,חגי אפרת,יש התאמה להכל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.001177,,2955,בארי,1135,בארי,בארי,בארי,,חנה קריצמן,hrpz:148,חנה קריצמן,btl:44014,חנהל'ה קריצמן,יש התאמה להכל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.001664,,3442,אשדוד,1187,,,,,תמר טורפיאשוילי,,,btl:44034,תמר טורפיאשוילי,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00854,,2632,פסטיבל נובה,6,,,,,רם שלום,,,btl:44039,רם רמצ'וק שלום,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00917,,2695,פסטיבל נובה,6,פסטיבל נובה,פסטיבל נובה,פסטיבל נובה,,אלה חמוי,hrpz:1456,אלה חמוי,btl:44046,אלה חמוי,יש התאמה להכל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00839,,2617,שתולה,185,שתולה,שתולה,שתולה,,מופיד אלזיר,hrpz:198,מופיד סנונו אלזיר,btl:44047,מופיד סנונו אלזיר,יש התאמה להכל
מיפוי-יעל-ביטוח-לאומי.csv,,צריך להוסיף לרשימת הא.נשים המתים,,צומת מגן,1303,צומת מגן,צומת מגן,צומת מגן,,,hrpz:2014,נעאמה אבו קרינאת,btl:44048,נעאמה אבו קרינאת,ביטוח לאומי ללא התאמה
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00849,,2627,,,,,,,מאיר מויאל,,,btl:44078,מאיר מויאל,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00841,,2619,"דוב""ב",1026,,,,,שלום עבודי,,,btl:44080,שלום עבודי,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00807,,2585,ירושלים,780,,,,,חנה איפרגן,,,btl:44095,חנה איפרגן,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00806,,2584,ירושלים,780,,,,,ליביה דיקמן,,,btl:44096,לביה דיקמן,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00808,,2586,ירושלים,780,,,,,אלימלך וסרמן,,,btl:44097,אלימלך וסרמן,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,Per.710.00804,,2582,ירושלים,780,,,,,יובל דורון קסטלמן,,,btl:44098,יובל קסטלמן,יש התאמה רק לבטל
מיפוי-יעל-ביטוח-לאומי.csv,,צריך להוסיף לרשימת הא.נשים המתים,,דרומית לגבים,1320,דרומית לגבים,דרומית לגבים,דרומית לגבים,,,hrpz:2032,זהיגו ליו,btl:44099,זהיגו ליו,ביטוח לאומי ללא התאמה
מיפוי-יעל-ביטוח-לאומי.csv,,צריך להוסיף לרשימת הא.נשים המתים,,דרומית לגבים,1320,דרומית לגבים,דרומית לגבים,דרומית לגבים,,,hrpz:2031,ג׳יאנה ליו,btl:44100,ג'יאנה ליו,ביטוח לאומי ללא התאמה
מיפוי-יעל-ביטוח-לאומי.csv,,צריך להוסיף לרשימת הא.נשים המתים,,עלומים,1217,עלומים,עלומים,עלומים,,,hrpz:1684,דיו סייאנג,btl:44101,דיו סייאנג,ביטוח לאומי ללא התאמה
